                14ceni.out                                          2007/06/24

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 43  42.00000  12.49787   0.32795
 44  43.00000  12.81789   0.35809
 45  44.00000  13.13895   0.39152
 46  45.00000  13.46105   0.42809
 47  46.00000  13.78421   0.46765
 48  47.00000  14.10841   0.51009
 49  48.00000  14.43365   0.55528
 50  49.00000  14.75994   0.60316
 51  50.00000  15.08728   0.65362
 52  51.00000  15.41566   0.70662
 53  52.00000  15.74509   0.76210
 54  53.00000  16.07556   0.82002
 55  54.00000  16.40708   0.88032



  Saga (N) 35/3-1                         

 WELL # 13 WITH  21 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.21181   0.51458
  2   1.00000   1.69227   0.46275
  3   2.00000   2.16561   0.41375
  4   3.00000   2.63184   0.36782
  5   4.00000   3.09097   0.32534
  6   5.00000   3.54297   0.28679
  7   6.00000   3.98787   0.25284
  8   7.00000   4.42565   0.22437
  9   8.00000   4.85633   0.20240
 10   9.00000   5.27989   0.18788
 11  10.00000   5.69633   0.18131
 12  11.00000   6.10567   0.18230
 13  12.00000   6.50789   0.18962
 14  13.00000   6.90300   0.20157
 15  14.00000   7.29100   0.21653
 16  15.00000   7.67189   0.23316
 17  16.00000   8.04566   0.25046
 18  17.00000   8.41232   0.26773
 19  18.00000   8.77188   0.28447
 20  19.00000   9.12431   0.30035
 21  20.00000   9.46964   0.31512
 22  21.00000   9.80785   0.32860
 23  22.00000  10.13895   0.34067
 24  23.00000  10.46294   0.35124
 25  24.00000  10.77982   0.36025
 26  25.00000  11.08958   0.36765
 27  26.00000  11.39224   0.37342
 28  27.00000  11.68778   0.37753
 29  28.00000  11.97621   0.37999
 30  29.00000  12.25752   0.38078
 31  30.00000  12.53173   0.37994
 32  31.00000  12.79882   0.37747
 33  32.00000  13.05880   0.37342
 34  33.00000  13.31166   0.36783
