                14cen.lli.out                                       2006/11/28

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 22  21.00000  14.40386   0.14906
 23  22.00000  15.03866   0.15171
 24  23.00000  15.67626   0.15376
 25  24.00000  16.31667   0.15513
 26  25.00000  16.95988   0.15577
 27  26.00000  17.60591   0.15567
 28  27.00000  18.25474   0.15486
 29  28.00000  18.90637   0.15341
 30  29.00000  19.56082   0.15141
 31  30.00000  20.21807   0.14902
 32  31.00000  20.87812   0.14643
 33  32.00000  21.54099   0.14392
 34  33.00000  22.20666   0.14181
 35  34.00000  22.87513   0.14050
 36  35.00000  23.54642   0.14045
 37  36.00000  24.22051   0.14214
 38  37.00000  24.89741   0.14601
 39  38.00000  25.57711   0.15243
 40  39.00000  26.25962   0.16166
 41  40.00000  26.94494   0.17379
 42  41.00000  27.63307   0.18880
 43  42.00000  28.32400   0.20661
 44  43.00000  29.01774   0.22706
 45  44.00000  29.71428   0.25000
 46  45.00000  30.41364   0.27528
 47  46.00000  31.11580   0.30278
 48  47.00000  31.82076   0.33238
 49  48.00000  32.52853   0.36398
 50  49.00000  33.23911   0.39750
 51  50.00000  33.95250   0.43289
 52  51.00000  34.66869   0.47008
 53  52.00000  35.38770   0.50904
 54  53.00000  36.10950   0.54973
 55  54.00000  36.83411   0.59212



  Shell (UK) 22/6-1                       

 WELL # 11 WITH  29 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.76092   0.43734
  2   1.00000   2.29726   0.40074
  3   2.00000   2.83156   0.36611
  4   3.00000   3.36384   0.33355
  5   4.00000   3.89407   0.30316
  6   5.00000   4.42228   0.27507
  7   6.00000   4.94844   0.24947
  8   7.00000   5.47258   0.22652
  9   8.00000   5.99468   0.20646
 10   9.00000   6.51475   0.18949
 11  10.00000   7.03278   0.17580
 12  11.00000   7.54878   0.16550
 13  12.00000   8.06274   0.15855
 14  13.00000   8.57467   0.15473
 15  14.00000   9.08457   0.15366
 16  15.00000   9.59243   0.15481
 17  16.00000  10.09826   0.15764
 18  17.00000  10.60205   0.16158
 19  18.00000  11.10381   0.16615
 20  19.00000  11.60354   0.17096
 21  20.00000  12.10123   0.17569
 22  21.00000  12.59688   0.18009
 23  22.00000  13.09051   0.18398
 24  23.00000  13.58210   0.18722
 25  24.00000  14.07165   0.18973
 26  25.00000  14.55917   0.19145
 27  26.00000  15.04466   0.19234
 28  27.00000  15.52811   0.19242
 29  28.00000  16.00953   0.19170
 30  29.00000  16.48891   0.19025
 31  30.00000  16.96626   0.18815
 32  31.00000  17.44158   0.18553
 33  32.00000  17.91486   0.18255
 34  33.00000  18.38611   0.17943
 35  34.00000  18.85532   0.17642
 36  35.00000  19.32250   0.17386
 37  36.00000  19.78765   0.17214
 38  37.00000  20.25076   0.17169
 39  38.00000  20.71183   0.17297
 40  39.00000  21.17088   0.17643
 41  40.00000  21.62789   0.18243
 42  41.00000  22.08286   0.19127
 43  42.00000  22.53580   0.20309
 44  43.00000  22.98671   0.21793
 45  44.00000  23.43558   0.23574
 46  45.00000  23.88242   0.25639
 47  46.00000  24.32722   0.27974
 48  47.00000  24.76999   0.30564
 49  48.00000  25.21073   0.33394
 50  49.00000  25.64943   0.36451
 51  50.00000  26.08610   0.39725
 52  51.00000  26.52073   0.43205
 53  52.00000  26.95333   0.46884
 54  53.00000  27.38389   0.50756
 55  54.00000  27.81243   0.54814



  Amoco (N) 2/8-1                         

 WELL # 12 WITH  19 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000  -0.00236   0.56348
  2   1.00000   0.27111   0.51509
  3   2.00000   0.54577   0.46928
  4   3.00000   0.82162   0.42614
  5   4.00000   1.09865   0.38580
  6   5.00000   1.37686   0.34840
  7   6.00000   1.65626   0.31414
  8   7.00000   1.93685   0.28322
  9   8.00000   2.21862   0.25592
 10   9.00000   2.50157   0.23251
 11  10.00000   2.78571   0.21325
 12  11.00000   3.07104   0.19832
 13  12.00000   3.35755   0.18774
 14  13.00000   3.64524   0.18131
 15  14.00000   3.93412   0.17855
 16  15.00000   4.22419   0.17882
 17  16.00000   4.51544   0.18134
 18  17.00000   4.80787   0.18538
 19  18.00000   5.10149   0.19028
 20  19.00000   5.39630   0.19548
 21  20.00000   5.69229   0.20057
 22  21.00000   5.98946   0.20522
 23  22.00000   6.28782   0.20923
 24  23.00000   6.58737   0.21243
 25  24.00000   6.88810   0.21474
 26  25.00000   7.19002   0.21615
 27  26.00000   7.49312   0.21667
 28  27.00000   7.79740   0.21638
 29  28.00000   8.10287   0.21543
 30  29.00000   8.40953   0.21399
 31  30.00000   8.71737   0.21234
 32  31.00000   9.02639   0.21079
 33  32.00000   9.33660   0.20976
 34  33.00000   9.64800   0.20972
 35  34.00000   9.96058   0.21120
 36  35.00000  10.27435   0.21476
 37  36.00000  10.58930   0.22092
 38  37.00000  10.90543   0.23014
 39  38.00000  11.22275   0.24275
 40  39.00000  11.54126   0.25897
 41  40.00000  11.86095   0.27885
 42  41.00000  12.18182   0.30236
 43  42.00000  12.50389   0.32940
 44  43.00000  12.82713   0.35982
 45  44.00000  13.15156   0.39347
 46  45.00000  13.47718   0.43021
