                27cenai.out                                         2007/03/15

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  60 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 15  14.00000   3.95248   0.20408
 16  15.00000   4.20221   0.19414
 17  16.00000   4.45566   0.18488
 18  17.00000   4.71284   0.17635
 19  18.00000   4.97374   0.16856
 20  19.00000   5.23837   0.16152
 21  20.00000   5.50672   0.15527
 22  21.00000   5.77880   0.14979
 23  22.00000   6.05460   0.14511
 24  23.00000   6.33413   0.14120
 25  24.00000   6.61739   0.13804
 26  25.00000   6.90437   0.13561
 27  26.00000   7.19507   0.13386
 28  27.00000   7.48950   0.13274
 29  28.00000   7.78766   0.13218
 30  29.00000   8.08954   0.13213
 31  30.00000   8.39515   0.13250
 32  31.00000   8.70448   0.13324
 33  32.00000   9.01754   0.13428
 34  33.00000   9.33432   0.13554
 35  34.00000   9.65483   0.13697
 36  35.00000   9.97906   0.13851
 37  36.00000  10.30702   0.14011
 38  37.00000  10.63870   0.14173
 39  38.00000  10.97411   0.14332
 40  39.00000  11.31325   0.14486
 41  40.00000  11.65611   0.14630
 42  41.00000  12.00270   0.14762
 43  42.00000  12.35301   0.14880
 44  43.00000  12.70704   0.14982
 45  44.00000  13.06481   0.15065
 46  45.00000  13.42629   0.15130
 47  46.00000  13.79151   0.15174
 48  47.00000  14.16044   0.15197
 49  48.00000  14.53311   0.15197
 50  49.00000  14.90950   0.15175
 51  50.00000  15.28961   0.15129
 52  51.00000  15.67345   0.15060
 53  52.00000  16.06102   0.14968
 54  53.00000  16.45230   0.14853
 55  54.00000  16.84732   0.14715
 56  55.00000  17.24606   0.14555
 57  56.00000  17.64853   0.14373
 58  57.00000  18.05472   0.14171
 59  58.00000  18.46464   0.13951
 60  59.00000  18.87828   0.13713
 61  60.00000  19.29565   0.13461
 62  61.00000  19.71674   0.13196
 63  62.00000  20.14156   0.12921
 64  63.00000  20.57010   0.12641
 65  64.00000  21.00237   0.12359
 66  65.00000  21.43837   0.12080
 67  66.00000  21.87809   0.11811
 68  67.00000  22.32154   0.11558
 69  68.00000  22.76871   0.11330
 70  69.00000  23.21960   0.11134
 71  70.00000  23.67422   0.10980
 72  71.00000  24.13257   0.10878
 73  72.00000  24.59464   0.10839
 74  73.00000  25.06044   0.10871
 75  74.00000  25.52996   0.10985
 76  75.00000  26.00321   0.11185
 77  76.00000  26.48019   0.11479
 78  77.00000  26.96089   0.11869
 79  78.00000  27.44531   0.12354
 80  79.00000  27.93346   0.12935
 81  80.00000  28.42534   0.13608
 82  81.00000  28.92094   0.14370
 83  82.00000  29.42026   0.15216
 84  83.00000  29.92332   0.16142
 85  84.00000  30.43009   0.17144
 86  85.00000  30.94059   0.18217
 87  86.00000  31.45482   0.19358
 88  87.00000  31.97277   0.20563
 89  88.00000  32.49445   0.21829
 90  89.00000  33.01986   0.23153
 91  90.00000  33.54898   0.24532
 92  91.00000  34.08184   0.25966
 93  92.00000  34.61842   0.27452
 94  93.00000  35.15873   0.28988
 95  94.00000  35.70275   0.30573
 96  95.00000  36.25051   0.32207
 97  96.00000  36.80199   0.33887
 98  97.00000  37.35720   0.35613



  Saga (N) 34/4-5                         

 WELL #  6 WITH  54 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000  -0.74958   0.32251
  2   1.00000  -0.19483   0.30531
  3   2.00000   0.35642   0.28869
  4   3.00000   0.90419   0.27265
  5   4.00000   1.44847   0.25721
  6   5.00000   1.98925   0.24241
  7   6.00000   2.52654   0.22827
  8   7.00000   3.06035   0.21482
  9   8.00000   3.59066   0.20209
 10   9.00000   4.11748   0.19014
 11  10.00000   4.64082   0.17901
 12  11.00000   5.16066   0.16875
 13  12.00000   5.67701   0.15940
 14  13.00000   6.18987   0.15103
 15  14.00000   6.69924   0.14368
 16  15.00000   7.20512   0.13739
 17  16.00000   7.70751   0.13221
 18  17.00000   8.20641   0.12812
 19  18.00000   8.70181   0.12514
 20  19.00000   9.19373   0.12321
 21  20.00000   9.68216   0.12227
 22  21.00000  10.16710   0.12223
 23  22.00000  10.64854   0.12300
 24  23.00000  11.12650   0.12445
 25  24.00000  11.60096   0.12647
 26  25.00000  12.07194   0.12894
 27  26.00000  12.53942   0.13176
 28  27.00000  13.00341   0.13483
 29  28.00000  13.46392   0.13806
 30  29.00000  13.92093   0.14138
 31  30.00000  14.37445   0.14472
 32  31.00000  14.82448   0.14802
 33  32.00000  15.27102   0.15124
 34  33.00000  15.71407   0.15434
 35  34.00000  16.15363   0.15728
 36  35.00000  16.58970   0.16003
 37  36.00000  17.02228   0.16257
 38  37.00000  17.45137   0.16489
 39  38.00000  17.87697   0.16696
 40  39.00000  18.29907   0.16877
 41  40.00000  18.71769   0.17031
 42  41.00000  19.13282   0.17157
 43  42.00000  19.54445   0.17255
 44  43.00000  19.95260   0.17324
 45  44.00000  20.35725   0.17364
 46  45.00000  20.75842   0.17374
 47  46.00000  21.15609   0.17355
 48  47.00000  21.55027   0.17307
 49  48.00000  21.94097   0.17231
 50  49.00000  22.32817   0.17126
 51  50.00000  22.71188   0.16993
 52  51.00000  23.09210   0.16834
 53  52.00000  23.46883   0.16650
 54  53.00000  23.84207   0.16442
 55  54.00000  24.21182   0.16212
 56  55.00000  24.57808   0.15962
 57  56.00000  24.94085   0.15694
 58  57.00000  25.30013   0.15411
 59  58.00000  25.65591   0.15117
 60  59.00000  26.00821   0.14815
 61  60.00000  26.35702   0.14512
 62  61.00000  26.70233   0.14211
 63  62.00000  27.04416   0.13919
 64  63.00000  27.38249   0.13644
 65  64.00000  27.71734   0.13394
 66  65.00000  28.04869   0.13177
 67  66.00000  28.37655   0.13005
 68  67.00000  28.70093   0.12887
 69  68.00000  29.02181   0.12835
 70  69.00000  29.33920   0.12858
 71  70.00000  29.65310   0.12966
 72  71.00000  29.96351   0.13168
 73  72.00000  30.27043   0.13469
 74  73.00000  30.57386   0.13873
 75  74.00000  30.87380   0.14382
 76  75.00000  31.17025   0.14997
 77  76.00000  31.46321   0.15714
 78  77.00000  31.75268   0.16531
 79  78.00000  32.03865   0.17443
 80  79.00000  32.32114   0.18446
 81  80.00000  32.60014   0.19535
 82  81.00000  32.87564   0.20706
 83  82.00000  33.14766   0.21954
 84  83.00000  33.41618   0.23276
 85  84.00000  33.68122   0.24668
 86  85.00000  33.94276   0.26126
 87  86.00000  34.20081   0.27649
 88  87.00000  34.45538   0.29233
 89  88.00000  34.70645   0.30877
 90  89.00000  34.95403   0.32578
 91  90.00000  35.19812   0.34335
 92  91.00000  35.43872   0.36147
 93  92.00000  35.67583   0.38011
 94  93.00000  35.90945   0.39928
 95  94.00000  36.13958   0.41895
 96  95.00000  36.36621   0.43913
 97  96.00000  36.58936   0.45980
